Brand,Product_Description,Screen_Size,RAM,Processor,GPU,GPU_Type,Resolution,Condition,Price
Dell,"Dell Precision 3551 15.6"" Laptop i5 10th Gen 256GB SSD 16GB RAM Win 11 (ME)",15.6,16,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1366 x 768,Very Good - Refurbished,386.96
Dell,"Dell Latitude 7420 14"" UHD 4K I7-1165G7 16GB 512GB SSD IR Cam FPReader Win10 Pro",14,16,Intel Core i7 11th Gen.,,Integrated/On-Board Graphics,,Excellent - Refurbished,422.06
Lenovo,"Lenovo Legion Pro 5 16IRX8 16"" (512GB SSD, Intel Core i5 13th Gen., 4.60GHz,...",16,16,Intel Core i5 13th Gen.,NVIDIA GeForce RTX 4050,Dedicated Graphics,2560 x 1600,Open box,95.0
Dell,"Dell Latitude 5420 14"" Intel Core I5-1145G7 16GB 256GB K34YF | No OS Installed",14,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,429.95
HP,"HP 15-er0056cl Pavilion x360 15.6"" FHD Touch i5-1135G7, 8G, 512G, Backlit",15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,559.99
Dell,"Dell XPS 15 9530 15.6"" (1TB SSD, Intel Core i9-13900H, 5.40GHz, 32GB RAM, NVIDIA",15.6,32,Intel Core i9 13th Gen.,NVIDIA GeForce RTX 4060,Dedicated Graphics,3456 x 2160,New,0.0
Dell,Dell Latitude 5410 i7-10610U 256GB PCIe 16GB FHD BT W10P BKLT vPro TB NBD WTY,14.0,16,Intel Core i7 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,749.99
Lenovo,"LENOVO ThinkPad X13 GEN 3 13"" FHD+ I7-1265U 512GB SSD 16GB W11P IRCam FP Reader",13,16,Intel Core i7 12th Gen.,Intel(R) Iris(R) Xe Graphics,Integrated/On-Board Graphics,1920 x 1200,Very Good - Refurbished,671.99
HP,"HP ENVY X360 2-IN-1 15"" FHD Touch I7-1255U 512GB 16GB W11 Backlit WiFi6 IRCam",15,16,Intel Core i7 12th Gen.,Intel(R) Iris(R) Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Good - Refurbished,479.99
Dell,"Dell Precision 5560 Workstation 15.6"" FHD+ i7 11800H 16GB DDR4 512GB SSD Laptop",15.6,16,Intel Core i7 11th Gen.,Nvidia T1200 Laptop GPU,Dedicated Graphics,1920 x 1200,Open box,499.99
Dell,Laptop Dell Latitude 7390 i7 Win 11Pro 23H2 512GB NVMe 8GB RAM Webcam Free Mouse,13.3,8,Intel Core i7 8th Gen. vPRO,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Open box,317.95
Lenovo,Lenovo ThinkPad T460|Core i7@2.60 GHz|8GB RAM|240 SSD|WIN11. PROF|Webcam,14.1,8,Intel Core i7 6th Gen.,Intel HD Graphics 520,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,242.1
Acer,"Acer TravelMate Spin P4 2022 14"" IPS 16GB 512GB SSD WiFi HDMI TMP414RN-51-70TN",14,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,759.99
Dell,"Dell Precision 5540 15.6"" FHD i7-9850H 32GB 1TB SSD Quadro T1000 FPR Win10 Pro",15.6,32,Intel Core i7 9th Gen.,NVIDIA Quadro T1000,Dedicated Graphics,,Very Good - Refurbished,549.0
Dell,"Dell Latitude 5430 14"" Grey 2022 FHD 1.8 GHz i7-1265U 16GB RAM 512GB SSD",14,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,489.99
Dell,Dell Latitude E6540|Core i5@2.70 GHz|8GB RAM|256GB HDD|WIN 10.PROF|WiFi,15,8,Intel Core i5 4th Gen.,Intel HD Graphics 4600,Integrated/On-Board Graphics,1366 x 768,Good - Refurbished,242.1
Asus,"ASUS Vivobook 15.6"" FHD i3-1005G1 256GB SSD R564JA-UH51T (Black) -FREE SHIP",15.6,8,Intel Core i3 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,319.99
Dell,"2021 Dell Inspiron 15 7506 2-in-1 i5-1135G7 8GB 256GB SSD 15.6"" FHD Touch W11",15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Good - Refurbished,549.0
HP,"HP 15-dw3005wm 15.6"" ( 512GB SSD, Intel Core i5-1137G7, 8GB RAM) Laptop - Silver",15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,,New,459.0
Dell,"Dell Latitude 5310 13.3"" Laptop 1.60GHz Core i5 8GB 256GB SSD W10P N763T *READ*",13.3,8,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,254.99
HP,"HP ZBook G2 17"" i7-4810MQ 2.8GHz 32GB 512GB SSD NVidia K3100m Wn10 Gaming Laptop",17,32,Intel Core i7 4th Gen.,NVidia Quadro K3100m 4GB,Dedicated Graphics,1920 x 1080,Good - Refurbished,515.0
HP,HP ENVY x360 15.6'' (512GB SSD Intel Core i7-1255U 16GB RAM) 2-In-1 Touch Laptop,15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,499.99
Dell,"Dell XPS 13 9310 13.4"" 3.5K TOUCH 2.9 GHz i7-1195G7 32GB RAM 1TB SSD Excellent",13.4,32,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,3456 x 2160,Excellent - Refurbished,801.71
Lenovo,"Lenovo Ideapad 3 – (2023) - Everyday Notebook - Windows 11-14"" Full HD – 8GB Mem",14,8,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,362.74
Microsoft,"Microsoft Surface Pro 7 Plus 12.3"" Silver 2.4GHz i5-1135G7 8GB 128GB USED #748",12.3,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,2736 x 1824,Open box,450.0
Lenovo,"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i",15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1366 x 768,Open box,340.0
MSI,"MSI Modern 14 B11MO 14""FHD Laptop,Intel i3-1115G4, 8GB RAM 512GB SSD,Blue Stone",14,8,Intel Core i3 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,349.99
Dell,"Alienware M18 Gaming Laptop - i9-13900HX 32GB DDR5 1TB SSD RTX 4080 18"" 480HZ",18,32,Intel Core i9 13th Gen.,NVIDIA GeForce RTX 4080,Dedicated Graphics,1920 x 1080,New,320.0
HP,HP EliteBook x360 1030 G2 i7-7600u 2.8GHz 16GB 512GB SSD FHD Touch Screen Laptop,13.3,16,Intel Core i7 7th Gen.,Intel HD 620,Integrated/On-Board Graphics,1920 x 1080,Good - Refurbished,495.0
HP,"New HP Pavilion x360 14m-dw0013dx 14'' Intel Core i3 8th 2.20Ghz,128GB, 8GB",14,8,Intel Core i3 8th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,549.99
Dell,Dell Precision 7550 Laptop i5-10400H 512GB PCIe 16GB FHD BT Camera T1000,15.6,16,Intel Core i5 10th Gen.,NVIDIA Quadro T1000 4GB GDDR6,Dedicated Graphics,1920 x 1080,Excellent - Refurbished,649.99
HP,"HP Elitebook 840 G3 14"" i5-6300u 2.4GHz 16GB 512GB SSD QHD IPS Win 10 Laptop",14,16,Intel Core i5 6th Gen.,Intel HD 520,Integrated/On-Board Graphics,2560x1440,Good - Refurbished,199.0
Lenovo,"Lenovo IdeaPad Flex 5 14IAU7 14"" Touch 512GB SSD, Intel Core i5 12th Gen",14,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,397.71
Dell,"New Dell 15.6"" Inspiron Touch Screen FullHD Intel i5-1135G7/8G/256G/Win11 Laptop",15.6,8,Intel Core i5 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,414.75
Lenovo,Lenovo ThinkPad L460|Core i5@2.30 GHz|8GB RAM |256 HDD|WIN 11. PROF|Webcam,14,8,Intel Core i5 6th Gen.,Intel HD Graphics 520,Integrated/On-Board Graphics,1366 x 768,Very Good - Refurbished,242.1
HP,"New HP ProBook 450 G10 15.6"" FHD Intel i7-1355U 16GB 512GB SSD Webcam Win 10 Pro",15.6,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,,New,807.46
Lenovo,"Lenovo ThinkPad E15 Gen 4 15.6"" Laptop i5 256GB SSD 8GB RAM Win 11 (AVA)",15.6,8,Intel Core i5 12th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,719.95
Dell,"Dell 13.3"" Latitude 5320 Laptop 2.4GHz i5-1135G7 8GB 256GB W10 F6R2G",13.3,8,Intel Core i5 11th Gen.,,,,Open box,499.99
HP,HP ProBook 650 G1 PC Core i7 3.2GHz 8GB 500GB HDMI 1080P WIN 10 OFFICE '19,15.6,8,Intel Core i7 4th Gen.,Intel HD Graphics 4600,Integrated/On-Board Graphics,1366 x 768,Very Good - Refurbished,306.55
Dell,"OB WRTY Dell Precision 7550 A+ 15.6"" FHD Intel i7-10850H 16GB 512GB Quadro T1000",15.6,16,Intel Core i7 10th Gen.,NVIDIA Quadro T1000,Dedicated Graphics,1920 x 1080,Open box,754.8
Dell,"Dell Latitude 3420 14"" i3-1115G4 4GB/500GB W10P64 ✅❤️️✅❤️️ NEW OPEN BOX!",14,4,Intel Core i3 11th Gen.,Intel UHD Graphics,,1366 x 768,Open box,374.99
HP,"HP LAPTOP 15-dy4038nr 15"" FHD I7-1195G7 512GB SSD 16GB W11 Backlit",15,16,Intel Core i7 11th Gen.,Intel(R) Iris(R) Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Good - Refurbished,459.99
Dell,"DELL LATITUDE 3520 15"" FHD I7-1165G7 256GB SSD 16GB W11P WiFi6",15,16,Intel Core i7 11th Gen.,Intel(R) Iris(R) Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Good - Refurbished,332.99
Dell,"XPS 13 9320, Core i7-1280P, 16GB DDR5, 1TB M.2 NVMe SSD",13.4,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,800.0
HP,"HP ProBook 640 G5 14"" Laptop i5 8th Gen 512GB SSD 16GB RAM Win 11 (AMX)",14,16,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,215.95
Dell,"New Dell Inspiron 15 3520 15.6"" (256GB SSD Intel Core i5 12th Gen. 4.40 GHz 8GB)",15.6,8,Intel Core i5 12th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,416.99
Dell,"Dell Latitude 7300 13.3"" FHD Touch 4-Core i7-8665U 16GB 512GB PCIe SSD Win11 Pro",13.3,16,Intel Core i7 8th Gen.,,Integrated/On-Board Graphics,,Very Good - Refurbished,337.46
Dell,Dell Latitude 7400 i7-8665U 256GB PCIe 16GB FHD CMRA BKLT W11P TB,14.0,16,Intel Core i7 8th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,329.99
Lenovo,"Lenovo IdeaPad Flex 14"" TOUCHSCREEN Intel i3-1115G4 3.4GHz 256GB SSD 4GB WIN 11",14,4,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,379.0
Dell,"Dell Inspiron 7630 (2-in-1) 16"" Silver FHD+ TOUCH 2.2 GHz i7-1360P 16GB 1TB SSD",16,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,,1920 x 1200,Very Good - Refurbished,599.99
Dell,Dell Latitude 13 Rugged Extreme 7330 i5-1145G7 1TB 16GB TOUCH CMRA FP BKLT WTY,13.3,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,749.99
Dell,"DELL Inspiron 15.6"" Full HD Intel i5-1135G7 2.4GHz Quad 16GB RAM 1TB SSD Win 11",15.6,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,519.0
HP,HP 15-DY2131WM 15.6 inch Intel Core i3 256GB SSD 8GB RAM Laptop-Fingerprint Read,15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,348.95
HP,"New HP ProBook 450 G10 15.6"" FHD Intel i7-1355U 16GB 512GB SSD Webcam Win 11 Pro",15.6,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,,New,779.99
Dell,Dell Latitude 5400 i7-8665U 256GB PCIe 16GB FHD BT Camera W11P Backlit Keyboard,14.0,16,Intel Core i7 8th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,249.99
Dell,Dell Latitude 9420 i7-1185G7 256GB PCIe 16GB FHD IR CMRA BKLT W11P FP NBD WTY,14.0,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1200,Excellent - Refurbished,649.99
Microsoft,Microsoft Surface Pro 4 TH3-00001 12.3-Inch Tablet,12.3,8,Intel Core i5 6th Gen.,Intel HD Graphics,Integrated/On-Board Graphics,2736 x 1824,Open box,429.0
Asus,"ASUS X555LA 15.6in. LAPTOP (1TB, Intel Core i3 5th Gen., 2.2GHz, 8GB) -win10",15.6,8,Intel Core i3 5th Gen.,,Integrated/On-Board Graphics,,New,449.99
Samsung,"Samsung Galaxy Book2 Pro 360 15.6"" FHD TOUCH 2.1 GHz i7-1260P 16GB RAM 1TB SSD",15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,699.99
Lenovo,"LENOVO THINKPAD X13 GEN 2 13"" FHD+ I5-1145G7 256GB SSD 16GB W11P WiFi6 FP Reader",13,16,Intel Core i5 11th Gen.,Intel(R) Iris(R) Xe Graphics,Integrated/On-Board Graphics,1920 x 1200,Good - Refurbished,479.99
Lenovo,"Lenovo Ideapad 3i -Touchscreen Laptop 15.6"" -i5-1155G7, 8GB RAM, 512GB SDD",15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,428.98
Lenovo,Lenovo ThinkPad P15v Gen2 i7-11800H 16GB 512GB BT5 WiFi6 15.6F W10P64 21A9003BUS,15.6,16,Intel Core i7 11th Gen.,NVIDIA® T1200 4GB,Dedicated Graphics,1920 x 1080,Open box,989.99
Microsoft,"Microsoft Surface 12.4 inch (64GB, Intel Core i5 10th Gen., 3.6 GHz, 4GB) IN BOX",12.4,4,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1536 x 1024,New,269.99
Lenovo,"Lenovo ThinkPad 12.5"" x250 i5-5300u 2.3GHz 16GB 256GB SSD Webcam Win 10 Laptop",12.5,16,Intel Core i5 5th Gen.,Intel HD Graphics 5500,Integrated/On-Board Graphics,1366x768,Good - Refurbished,270.0
Dell,"DELL LATITUDE 5401 14"" Laptop i7 9th Gen 16GB 512GB NEW SEALED",14,16,Intel Core i7 9th Gen.,Intel HD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,599.0
Lenovo,"Lenovo Thinkpad X1 Carbon Gen 9 14"" 2021 FHD+ 2.8 GHz i7-1165G7 16GB 1TB SSD",14,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1200,Very Good - Refurbished,649.99
Dell,Dell Latitude 9330 2 in 1 i7-1260U 1TB G4 16GB QHD+ TOUCH CMRA BKLT FP W11P WTY,13.3,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,2560 x 1600,Excellent - Refurbished,199.99
Dell,"Dell Latitude 7389 13"" i5-7300u 2.6GHz 8GB 256GB SSD Touch Screen Tablet Laptop",13,8,Intel Core i5 7th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Good - Refurbished,250.0
Asus,Asus Vivobook 17X 17.3in FHD Intel i5-12500H 8GB 512GB SSD Win11 K1703ZA-SB54,17.3,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1280,New,509.0
HP,"HP Envy x360 14"" 2023 FHD TOUCH 1.3 GHz i5-1335U 8GB RAM 512GB SSD Very Good",14,8,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,,1920 x 1080,Very Good - Refurbished,419.99
HP,New HP Victus 16.1'' FHD 144Hz Gaming Laptop i7-13700H 16GB 1TB SSD RTX 4060,16.1,16,Intel Core i7 13th Gen.,NVIDIA GeForce RTX 4060,Dedicated Graphics,1920 x 1080,New,149.49
Dell,Dell Precision 3551 i5-10400H 128GB PCIe 8GB HD TB BT W10P BKLT 4 cell WIFI,15.6,8,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1366 x 768,Excellent - Refurbished,329.99
Dell,"Dell Latitude E7270 12.5"" Laptop i5 6th Gen 512GB SSD 8GB RAM Win 10 Pro (Z3E2)",12.5,8,Intel Core i5 6th Gen.,Intel HD Graphics,Integrated/On-Board Graphics,1366 x 768,Very Good - Refurbished,215.95
Samsung,"Samsung Galaxy Book Pro 15.6"" (512GB SSD, Intel Core i7 11th Gen., 4.70 GHz,...",15.6,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,724.99
Dell,"Dell INSPIRON 7620 2-IN-1 Touch 16"" FHD+ i5-1235U 16GB 512GB SSD Fingerprint",16,8,Intel Core i5 12th Gen.,Intel(R) Iris(R) Xe Graphics,Integrated/On-Board Graphics,1920 x 1200,Open box,509.99
HP,HP Pavilion Laptop Up to 64 GB Ram 4 TB SSD WINDOWS 11 PRO Intel i7-1355U New,15.6,64,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,750.0
Dell,Dell Latitude 9420 2 in 1 i5-1145G7 512GB PCIe 16GB QHD+ TOUCH CMRA BKLT FP WTY,14.0,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,2560 x 1600,Excellent - Refurbished,699.99
Lenovo,"Lenovo T540p 15"" i5-4300M 2.6GHz 16GB 512GB SSD Win10 1080p NVidia Gaming Laptop",15.6,16,Intel Core i5 4th Gen.,NVIDIA GeForce GT 730M - 1GB,Dedicated Graphics,1920x1080,Good - Refurbished,385.0
HP,"HP 15-dy2000 15-dy2017ds 15.6"" Notebook 3Y8E9UA#ABA",15.6,8,Intel Core i3 11th Gen.,,Integrated/On-Board Graphics,,Open box,355.97
Dell,Dell Latitude 13 Rugged Extreme 7330 i5-1145G7 512GB 16GB TOUCH CMRA FP BKLT WTY,13.3,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,649.99
Lenovo,ATT Alcatel Prepaid Volta 16GB Suede Gray Prepaid Smartphone,13.3,4,Intel Core i3 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,29.99
Asus,"ASUS ExpertBook P2451F 14"" FHD Laptop i7 10th Gen Quad Core 512GB SSD / 16GB RAM",14,16,Intel Core i7 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,599.99
Lenovo,"Lenovo ThinkPad X13 Gen 1 13.3"" FHD 1.7GHz i5-10310U 8GB RAM 256GB SSD Very Good",13.3,8,Intel Core i5 10th Gen.,Intel UHD Graphics,,1920 x 1080,Very Good - Refurbished,289.99
Microsoft,Microsoft Surface Laptop Go 3 12.4 Touchscreen Intel Core i5-1235U 8GB RAM 256G,12.4,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1536 x 1024,New,699.99
Dell,"Dell Inspiron 3530 Laptop 15.6"" FHD Intel Core i7-1355U 16GB RAM 1TB SSD 11PRO",15.6,16,Intel Core i7 13th Gen.,,Integrated/On-Board Graphics,1920 x 1080,New,989.99
HP,"HP EliteBook 640 G9 14"" FHD Intel 12th i3-1215U 32GB RAM 1TB PCIe SSD W10 Pro",14,16,Intel Core i3 12th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920x1080,Excellent - Refurbished,519.95
HP,"HP Pavilion 15.6"" FHD IPS Touch Laptop i7-1195G7, 16G, 512G backlit 15-eg1073cl",15.6,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,699.99
Lenovo,"Lenovo IdeaPad Slim 5 16"" Touchscreen Laptop Ryzen 7 7730U 16GB RAM 512GB SSD",16,16,AMD Ryzen 7 7000 Series,AMD Radeon Graphics,Integrated/On-Board Graphics,1920 x 1200,New,599.88
HP,"HP Zbook Firefly 14 G9 14"" FHD+ I7-1265U 512GB SSD 16GB W10P T550 Nvidia GPU",14,16,Intel Core i7 12th Gen.,NVIDIA T550 Laptop GPU,Dedicated Graphics,1920 x 1200,Good - Refurbished,733.99
Lenovo,"Lenovo V14 G2 ITL 14"" Laptop i5 -1135G7 2.40GHz 8GB 256GB SSD 82KA00KNUS",14,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,408.0
Dell,NEW Dell XPS 15 9315 Non Touch Laptop Intel i5-1230U 256GB SSD 8GB RAM,13.4,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1200,New,599.0
Dell,"2022 Dell Latitude 9330 2-in-1 i5-1230U 8GB 256GB SSD 13.3"" QHD+ Touch IR W11Pro",13.3,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,2560 x 1600,Open box,769.0
Dell,Dell Latitude 3420 i3-1115G4 4GB 500GB BT5 WiFi6 14W W10P64 4HGY1 ✅❤️️✅❤️️,14,4,Intel Core i3 11th Gen.,Intel UHD Graphics,,1366 x 768,Open box,329.99
Dell Inc.,"Dell Precision 7520 15.6"" FHD I7-6820HQ 1TB SSD 16GB W10P Quadro M1200",15.6,16,Intel Core i7 6th Gen.,NVIDIA Quadro M1200,Dedicated Graphics,1920 x 1080,Good - Refurbished,239.99
HP,"NEW HP 15.6"" HD Intel 10th Gen i3-1005G1 8GB RAM 256GB SSD Webcam 15-dy1091WM",15.6,8,Intel Core i3 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1366 x 768,New,379.99
Dell,Dell Latitude 3380 Core i3-6006u 2GHz 16GB 256GB SSD Webcam BT WiFi Win10 Laptop,13,16,Intel Core i3 6th Gen.,Intel HD Graphics 520,Integrated/On-Board Graphics,1366 x 768,Good - Refurbished,195.0
HP,HP EliteBook 840 G8 i5-1145G7 32GB 256GB BT5 WiFi6 14F W10P 6H136UP#ABA ✅❤️️✅❤️️,14,32,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,569.99
Dell,⭐ Dell Latitude 3420 i5-1135G7 8GB 256GB BT5 WiFi6 14W W10-11P64 Y7Y40 ✅ New!,14,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,,1366 x 768,Open box,499.99
HP,HP ENVY 13-ba1768nr Intel Core i5 11th Gen 8GB Ram 512GB SSD Touchscreen Laptop,13.3,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,,1920 x 1080,New,699.89
Dell,"Dell Inspiron 13.3"" (256GB, Intel Core i5 8th Gen., 8GB) Laptop - Silver -...",13.3,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,New,349.99
HP,"HP Envy x360 13.3"" 2.8K OLED Touchscreen Laptop/Tablet PC i5-1230U 8GB 512GB SSD",13.3,8,Intel Core i5 12th Gen.,,Integrated/On-Board Graphics,,Excellent - Refurbished,639.45
Lenovo,Lenovo ThinkPad T540p Laptop Quad Core i7 2.4GHz 16GB 512 SSD WIN 10 OFFICE '19,15.6,16,Intel Core i7 4th Gen.,INTEL HD GRAPHICS 4600,Integrated/On-Board Graphics,1366 x 768,Very Good - Refurbished,377.15
HP,New HP 15-DY2131WM 15.6 inch Intel Core i3 256GB SSD 8GB RAM Laptop - Silver,15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,280.0
Dell,Dell Latitude 5400 i5-8365U 256GB NVMe 16GB FHD RGB CMRA BKLT SC,14.0,16,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,359.99
Dell,"Dell PRECISION 5550 15"" FHD+ I7-10750H 1TB 32GB W11P T2000 WiFi6 FP Reader IRCam",15,32,Intel Core i7 10th Gen.,NVIDIA Quadro T2000 with Max-Q Design,Dedicated Graphics,1920 x 1200,Very Good - Refurbished,623.99
Dell,Dell Latitude 7420 i7-1185G7 32GB 256GB BT5 WiFi6 14T W10P 3000077798490 ✅❤️✅❤️,14,32,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,749.99
MSI,🔥 MSI GF63 Thin 11UC-1276US Intel i5-11500H/16GB/512GB RTX 3050 Gaming Laptop,15.6,16,Intel Core i5 11th Gen.,NVIDIA GeForce RTX 3050,Dedicated Graphics,1920 x 1080,New,647.75
Acer,"Acer TravelMate P4 P414-51 TMP414-51-506U 14"" Notebook - Full HD - 1920 x 1080 -",14,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,963.06
HP,"NEW HP EliteBook x360 1040 G10 14"" WUXGA, Intel i5-1345U, 16GB LPDDR5, 512GB SSD",14,16,Intel Core i5 13th Gen.,Intel HD Graphics,Integrated/On-Board Graphics,1920 x 1200,New,794.99
HP,"HP 15.6"" FHD Touch, Intel Core i3-1115G4, 8GB, 256GB, Silver, Windows 11 #17808",15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,349.99
HP,"HP Pavilion x360 14"" Touchscreen Convertible Laptop i5-1235U 8GB 256GB SSD Win11",14,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,,,New,589.0
HP,"🔥 New HP 15.6"" HD Touchscreen Intel i5-1035G1/8G/512G SSD/Win10 15-dy1751ms 🔥",15.6,8,Intel Core i5 10th Gen.,,Integrated/On-Board Graphics,1366 x 768,New,449.75
Dell,"Dell XPS 13 9310 13.4"" Intel Core i7-1195G7 16GB 512GB W11P Silver",13.4,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1200,Open box,999.88
Lenovo,"Lenovo ThinkPad T470 14"" (2TB SSD Intel Core i7-7600U, 2.80 GHz, 32GB RAM)...",14,32,Intel Core i7 7th Gen.,Intel HD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Open box,328.0
